                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.91999,                0.72348,                0.94448,                0.98828,                      1,                  0.995,                0.74822,                0.92804,                0.69599,                0.97211,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0001,                0.69669,                 1.0079,                0.99002,                      1,                  0.995,                0.76401,                0.88887,                0.64119,                0.96218,             0.00085834,             0.00085834,             0.00085834
                     51,                0.87076,                0.68835,                0.98834,                0.98836,                      1,                  0.995,                 0.7483,                0.96236,                0.65585,                0.97801,             0.00084184,             0.00084184,             0.00084184
                     52,                0.85156,                0.61997,                0.92737,                0.98676,                      1,                  0.995,                0.71404,                 0.9451,                0.65403,                0.97767,             0.00082533,             0.00082533,             0.00082533
                     53,                0.78496,                0.62498,                0.92057,                0.97952,                      1,                  0.995,                0.70782,                0.94761,                0.65763,                0.96307,             0.00080883,             0.00080883,             0.00080883
                     54,                0.86806,                 0.6625,                0.97863,                0.97764,                      1,                  0.995,                0.70654,                0.94257,                0.67502,                 0.9578,             0.00079233,             0.00079233,             0.00079233
                     55,                0.91998,                0.65588,                0.93061,                0.97989,                      1,                  0.995,                0.74435,                0.92811,                0.64036,                0.95345,             0.00077582,             0.00077582,             0.00077582
                     56,                0.96989,                 0.6472,                0.96707,                 0.9902,                      1,                  0.995,                0.74726,                 0.9905,                0.64532,                0.95334,             0.00075932,             0.00075932,             0.00075932
                     57,                0.89339,                  0.628,                0.95431,                0.98976,                      1,                  0.995,                0.73264,                0.93499,                0.66165,                0.95931,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89611,                0.61534,                0.99512,                0.99009,                      1,                  0.995,                0.73692,                 1.0251,                0.66025,                 1.0088,             0.00072631,             0.00072631,             0.00072631
                     59,                0.84056,                0.63042,                 0.9171,                0.98843,                      1,                  0.995,                0.74578,                0.95099,                0.60855,                0.98554,             0.00070981,             0.00070981,             0.00070981
                     60,                0.84578,                 0.6156,                0.94336,                 0.9896,                      1,                  0.995,                0.73504,                0.87617,                0.59435,                0.95311,             0.00069331,             0.00069331,             0.00069331
                     61,                0.84397,                0.61402,                0.95705,                0.98991,                      1,                  0.995,                 0.7882,                0.89869,                0.58188,                0.95831,              0.0006768,              0.0006768,              0.0006768
                     62,                0.83807,                0.62394,                0.95811,                0.98617,                      1,                  0.995,                0.78261,                0.88728,                0.60033,                0.94022,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.8556,                0.61215,                0.97281,                0.98169,                      1,                  0.995,                0.82416,                0.83707,                0.57382,                0.92409,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86635,                0.60043,                0.98367,                0.98553,                      1,                  0.995,                0.81711,                0.83113,                0.55829,                0.94937,             0.00062729,             0.00062729,             0.00062729
                     65,                0.85554,                0.62598,                0.91266,                0.98827,                      1,                  0.995,                0.77098,                0.87767,                0.57367,                0.97186,             0.00061079,             0.00061079,             0.00061079
                     66,                0.81763,                0.58308,                0.91479,                0.98961,                      1,                  0.995,                0.75476,                0.89514,                0.55901,                0.99401,             0.00059429,             0.00059429,             0.00059429
                     67,                0.81141,                0.55506,                0.92222,                0.98955,                      1,                  0.995,                0.77637,                0.86292,                0.55466,                0.98263,             0.00057778,             0.00057778,             0.00057778
                     68,                0.85571,                0.59673,                0.94121,                0.99028,                      1,                  0.995,                0.77761,                0.88338,                0.54574,                0.95908,             0.00056128,             0.00056128,             0.00056128
                     69,                0.78617,                 0.5788,                0.92569,                0.99032,                      1,                  0.995,                0.78371,                0.88369,                0.54437,                0.95463,             0.00054478,             0.00054478,             0.00054478
                     70,                0.78471,                0.54202,                0.90016,                0.99096,                      1,                  0.995,                0.77741,                0.84524,                 0.5461,                0.92963,             0.00052827,             0.00052827,             0.00052827
                     71,                0.80879,                0.56682,                0.94244,                 0.9898,                      1,                  0.995,                 0.7776,                0.86151,                0.55244,                0.93099,             0.00051177,             0.00051177,             0.00051177
                     72,                0.79523,                0.53761,                0.92072,                0.99043,                      1,                  0.995,                0.80627,                0.88062,                0.55146,                0.94357,             0.00049527,             0.00049527,             0.00049527
                     73,                0.75818,                0.54711,                0.88853,                0.98897,                      1,                  0.995,                0.80932,                0.87503,                0.54692,                0.93701,             0.00047876,             0.00047876,             0.00047876
                     74,                0.77668,                0.55043,                0.91516,                0.99064,                      1,                  0.995,                0.76746,                0.86267,                0.54687,                0.93061,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78932,                0.55975,                0.92506,                0.99077,                      1,                  0.995,                0.80893,                0.80597,                0.52338,                0.91478,             0.00044576,             0.00044576,             0.00044576
                     76,                0.81287,                0.52923,                0.91427,                 0.9859,                      1,                  0.995,                0.80716,                0.82186,                0.50799,                0.92472,             0.00042925,             0.00042925,             0.00042925
                     77,                0.78407,                0.53621,                0.91963,                0.98067,                      1,                  0.995,                0.80626,                0.82631,                0.51091,                0.93332,             0.00041275,             0.00041275,             0.00041275
                     78,                0.78682,                0.52549,                0.90318,                0.97766,                      1,                  0.995,                0.81023,                0.82397,                0.50176,                0.92288,             0.00039625,             0.00039625,             0.00039625
