                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.70966,                0.43097,                 1.0595,                0.78139,                0.76027,                0.78789,                 0.4118,                 1.7188,                 0.9112,                 2.0079,               0.000152,               0.000152,               0.000152
                    142,                0.67284,                0.38271,                 1.0272,                0.79678,                 0.7774,                0.80893,                0.43179,                 1.6828,                0.93147,                 1.9724,              0.0001388,              0.0001388,              0.0001388
                    143,                  0.648,                0.36838,                 1.0183,                0.79223,                0.75342,                 0.8058,                0.42855,                 1.7061,                0.92976,                 1.9921,              0.0001256,              0.0001256,              0.0001256
                    144,                  0.642,                0.36229,                 1.0145,                0.76672,                0.77663,                 0.8044,                0.43408,                 1.6901,                0.93241,                 1.9806,              0.0001124,              0.0001124,              0.0001124
                    145,                 0.6396,                0.36972,                 1.0174,                0.78294,                0.77824,                0.81866,                0.43913,                  1.685,                0.90838,                 1.9959,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.61258,                0.34817,                0.99477,                  0.816,                0.75939,                0.81718,                0.44218,                 1.6621,                 0.9138,                 1.9795,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.60817,                0.34618,                0.99745,                0.81953,                0.75685,                0.82232,                0.44368,                 1.6734,                0.91025,                  1.988,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.60569,                0.34692,                0.99601,                0.81901,                   0.75,                 0.8138,                0.44404,                 1.6684,                 0.9059,                 1.9868,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.59433,                0.34144,                0.98796,                0.84684,                 0.7363,                0.82254,                0.44469,                 1.6681,                0.91358,                 1.9894,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.62048,                 0.3485,                 1.0139,                0.83136,                0.75973,                0.82254,                0.44802,                 1.6645,                0.90862,                 1.9838,               3.32e-05,               3.32e-05,               3.32e-05
